"neighborhood","borough"
"Fort Greene","Brooklyn"
"West Village","Manhattan"
"Sunset Park","Brooklyn"
"Midtown","Manhattan"
"Bushwick","Brooklyn"
"Williamsburg","Brooklyn"
"Clinton Hill","Brooklyn"
"Astoria","Queens"
"Upper East Side","Manhattan"
"Upper West Side","Manhattan"
"Bedford-Stuyvesant","Brooklyn"
"Crown Heights","Brooklyn"
"Flushing","Queens"
"Greenpoint","Brooklyn"
"Prospect-Lefferts Gardens","Brooklyn"
"Chelsea","Manhattan"
"Financial District","Manhattan"
"Elmhurst","Queens"
"Harlem","Manhattan"
"Hell's Kitchen","Manhattan"
"East Flatbush","Brooklyn"
"Ditmars Steinway","Queens"
"Gramercy","Manhattan"
"East Village","Manhattan"
"Washington Heights","Manhattan"
"Kips Bay","Manhattan"
"Rosedale","Queens"
"Two Bridges","Manhattan"
"Lower East Side","Manhattan"
"Long Island City","Queens"
"South Slope","Brooklyn"
"Inwood","Manhattan"
"Rego Park","Queens"
"Park Slope","Brooklyn"
"Flatiron District","Manhattan"
"East New York","Brooklyn"
"Murray Hill","Manhattan"
"Tribeca","Manhattan"
"NoHo","Manhattan"
"Howard Beach","Queens"
"Flatbush","Brooklyn"
"East Harlem","Manhattan"
"Theater District","Manhattan"
"Jackson Heights","Queens"
"Jamaica","Queens"
"Sunnyside","Queens"
"Gravesend","Brooklyn"
"Forest Hills","Queens"
"Morningside Heights","Manhattan"
"Cypress Hills","Brooklyn"
"Fort Hamilton","Brooklyn"
"Canarsie","Brooklyn"
"Queens Village","Queens"
"Sheepshead Bay","Brooklyn"
"Nolita","Manhattan"
"Corona","Queens"
"Prospect Heights","Brooklyn"
"East Elmhurst","Queens"
"Chinatown","Manhattan"
"Edgemere","Queens"
"Bay Ridge","Brooklyn"
"Cobble Hill","Brooklyn"
"Woodside","Queens"
"SoHo","Manhattan"
"Windsor Terrace","Brooklyn"
"Woodhaven","Queens"
"Dyker Heights","Brooklyn"
"Briarwood","Queens"
"Carroll Gardens","Brooklyn"
"Kensington","Brooklyn"
"Boerum Hill","Brooklyn"
"Richmond Hill","Queens"
"Borough Park","Brooklyn"
"Greenwich Village","Manhattan"
"Glendale","Queens"
"Cambria Heights","Queens"
"Battery Park City","Manhattan"
"Bensonhurst","Brooklyn"
"Little Italy","Manhattan"
"Gowanus","Brooklyn"
"Ridgewood","Queens"
"Middle Village","Queens"
"Marble Hill","Manhattan"
"Brooklyn Heights","Brooklyn"
"Ozone Park","Queens"
"Douglaston","Queens"
"Downtown Brooklyn","Brooklyn"
"Springfield Gardens","Queens"
"Rockaway Beach","Queens"
"Civic Center","Manhattan"
"Maspeth","Queens"
"Hollis","Queens"
"DUMBO","Brooklyn"
"Fresh Meadows","Queens"
"Manhattan Beach","Brooklyn"
"St. Albans","Queens"
"Bay Terrace","Queens"
"Arverne","Queens"
"Coney Island","Brooklyn"
"Midwood","Brooklyn"
"Bayside","Queens"
"Flatlands","Brooklyn"
"Roosevelt Island","Manhattan"
"Far Rockaway","Queens"
"Brownsville","Brooklyn"
"Red Hook","Brooklyn"
"Bergen Beach","Brooklyn"
"Bellerose","Queens"
"Holliswood","Queens"
"Bath Beach","Brooklyn"
"South Ozone Park","Queens"
"Kew Gardens","Queens"
"College Point","Queens"
"Columbia St","Brooklyn"
"Kew Gardens Hills","Queens"
"Laurelton","Queens"
"Brighton Beach","Brooklyn"
"Stuyvesant Town","Manhattan"
"Bayswater","Queens"
"Jamaica Hills","Queens"
"Sea Gate","Brooklyn"
"Jamaica Estates","Queens"
"Belle Harbor","Queens"
"Vinegar Hill","Brooklyn"
"Whitestone","Queens"
"Neponsit","Queens"
"Navy Yard","Brooklyn"
"Mill Basin","Brooklyn"
"Breezy Point","Queens"
"Little Neck","Queens"
